,# src,RA(deg),err_RA(deg), Dec(deg), err_Dec(deg), Flux(Jy), err_Flux(Jy)
54,54,26.2353055214,0.0063717510906,-11.5128909318,0.0094602987062,0.213847093575,0.0393476771672
55,55,24.3770027318,0.0037586454029,-29.8147344596,0.0056897057783,0.136257257804,0.020704381407
56,56,22.7137442149,0.0012486810301,-15.5063891621,0.0012657495619,0.917845808783,0.0213706123557
57,57,17.7574171459,0.0005831207156,-34.5995758196,0.0010287593687,1.65472661906,0.0382221258276
58,58,25.0736726355,0.0029395526942,-18.0166537092,0.0041060704913,0.28120448718,0.019262604517
59,59,36.8083013225,0.0015454039958,-32.0107905733,0.0019544276206,0.578175738368,0.0329474725512
60,60,8.98810723438,0.0023612144061,-27.6200381919,0.00352899238,0.504437488402,0.0385379977041
61,61,15.1145187006,0.0012388918805,-13.5312404581,0.0014636954867,1.23406650802,0.0393046537944
62,62,20.1791366667,0.0079382071474,-32.648215924,0.0081748321096,0.167569905121,0.0270141130137
63,63,28.7671966479,0.0043314238841,-25.6560308487,0.005640729688,0.106275787714,0.0157363201702
64,64,19.5129680204,0.0073591199444,-6.44110669825,0.0088352050953,0.544750600412,0.0669592323796
65,65,20.8646381201,0.0020658323453,-23.3721187286,0.0027415714666,0.346581529713,0.0182994033965
66,66,28.7782912667,0.0008190064192,-39.4124161694,0.0014040555756,1.64262527674,0.0547488770061
67,67,16.2284428411,0.0041270380186,-20.6146774461,0.0057044029731,0.209834168829,0.0232738482367
68,68,26.9465241202,0.0028833164571,-17.4498771155,0.0032720691865,0.282201145286,0.021669103546
69,69,23.004834597,0.0052956717977,-19.904329639,0.0098084861517,0.0948900028116,0.0199694282705
70,70,8.62481427908,0.0009422983938,-17.9092712107,0.00144428585,1.49959385317,0.0392605539277
71,71,23.6357856008,0.0081069654835,-8.26619378344,0.0123917553992,0.333745622764,0.0569793988358
72,72,9.20699931881,0.0016447796021,-23.4814963243,0.0022720493526,0.676074307475,0.0339214219633
